Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 56	"High-grade neuroepithelial neoplasm, with mixed histologic features, CNS WHO grade 4."	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Histologic classification: low grade glial.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Histology consistent with cerebellar neuroblastoma, pending molecular classification."	Unknown	
Release 56	IDH1 (R132H) and H3K27m wildtype by immunohistochemistry.	Unknown	
Release 56	IDH-mutant glioma.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Infiltrating glioma with high-grade histologic features	"High-grade glioma, NOS or NEC"	
Release 56	"Infiltrative glioma, EGFR insertion/duplication mutant that is IDH and H3 wild type, low WHO grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Inflammatory myofibroblastic tumor of bone, osteoclast-rich"	Inflammatory Myofibroblastic Tumor	
Release 56	"Intracranial mesenchymal tumor, FET::CREB fusion positive"	"Intracranial Mesenchymal Tumors, FET::CREB Fusion-positive"	
Release 56	Intraparenchymal CNS schwannoma	Schwannoma	
Release 56	Invasive macrofollicular variant of papillary carcinoma	"Papillary carcinoma, NOS"	
Release 56	Low grade glial neoplasm with perivascular accentuation of tumor cells	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Low grade glioma compatible with pilocytic astrocytoma, BRAF altered."	"Low-grade glioma, NOS or NEC"	
Release 56	"Low grade glioma consistent with pilocytic astrocytoma , WHO Grade 1"	"Low-grade glioma, NOS or NEC"	
Release 56	"Low grade glioma, most consistent with Pilocytic Astrocytoma, WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 56	"Low-grade glial neoplasm, consistent with pilocytic astrocytoma, CNS WHO grade 1."	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Low-grade glial tumor by morphology	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Low-grade glioma with PDGFRA p.K385L alteration.	"Low-grade glioma, NOS or NEC"	
Release 56	Low-grade neoplasm with fibrohistiocytic features	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Malignant melanoma.	"Malignant melanoma, NOS"	
Release 56	"Malignant mesenchymal tumor, most consistent with embryonal rhabdomyosarcoma"	"Mesenchymal Tumor, NOS"	
Release 56	"Medulloblastoma, classic histologic type, WNT-activated, WHO grade 4"	"Medulloblastoma, WNT-activated"	
Release 56	"Medulloblastoma, CNS WHO Grade 4, favor SHH-activated and TP53-wildtype"	"Medulloblastoma, SHH-activated and TP53-wildtype"	
Release 56	"Medulloblastoma, desmoplastic/ nodular histology"	Desmoplastic nodular medulloblastoma	
Release 56	"Medulloblastoma, histologically defined, classic type, CNS WHO Grade 4"	Medulloblastoma	
Release 56	"Medulloblastoma, large cell/anaplastic (LC/A) histology"	Large cell medulloblastoma	
Release 56	"Medulloblastoma, non-WNT/ non-SHH (group 3/4)"	"Medulloblastoma, non-WNT/non-SHH"	
Release 56	"Medulloblastoma, SHH-activated and TP53-wildtype."	"Medulloblastoma, SHH-activated and TP53-wildtype"	
Release 56	"Melanoma, epithelioid type"	Melanoma	
Release 56	"Meningioma, CNS WHO grade 2, with YAP1::MAML3 fusion"	Meningioma	
Release 56	"Mesothelial neoplasm, workup pending"	"Neoplasm, NOS"	
Release 56	Mesothelioma with EWSR1::YY1 fusion	"Neoplasm, NOS"	
Release 56	Metastatic neuroblastoma extensively involving the bone marrow with evidence of trilineage hematopoiesis	Neuroblastoma	
Release 56	"Minimally invasive, encapsulated follicular variant of papillary thyroid carcinoma."	Papillary Thyroid Carcinoma	
Release 56	"Minute fragments of low-grade glioma, histologically consistent with pilocytic astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 56	"Morphologically low-grade glial neoplasm with focal infiltration, increased vascularity, and increased proliferative rate."	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Neoplasm present, pending consultation"	"Neoplasm, NOS"	
Release 56	"Neuroblastoma (Schwannian stroma-poor), poorly differentiated, high mitotic-karyorrhectic index (MKI), unfavorable histology"	Neuroblastoma	
Release 56	"Neuroblastoma (Schwannian stroma-poor), poorly-differentiated, unfavorable histopathology, size 9.1 cm"	Neuroblastoma	
Release 56	"Neuroblastoma, differentiating, intermediate MKI (unfavorable histology)"	Neuroblastoma	
Release 56	"Neuroblastoma, poorly differentiated, favorable histopathology for age"	Neuroblastoma	
Release 56	"Neuroblastoma, poorly differentiated, intermediate mitosis karyorrhectic index (MKI), unfavorable histology."	Neuroblastoma	
Release 56	"Neuroblastoma, poorly differentiated, intermediate MKI (unfavorable histopathology)"	Neuroblastoma	
Release 56	"Neuroblastoma, poorly differentiated, low MKI, overall unfavorable histology"	Neuroblastoma	
Release 56	"Neuroblastoma, poorly differentiated, with high MKI and unfavorable histology."	Neuroblastoma	
Release 56	"Neuroblastoma, poorly differentiated."	Neuroblastoma	
Release 56	"Neuroblastoma, Schwannian stroma-poor, poorly differentiated subtype."	Neuroblastoma	
Release 56	"Neuroblastoma, Schwannian stroma-poor, poorly differentiated, intermediate MKI, favorable histopathology."	Neuroblastoma	
Release 56	"Neuroblastoma, Schwannian stroma-poor, undifferentiated, high MKI, unfavorable histology by INPC"	Neuroblastoma	
Release 56	"Neuroblastoma, undifferentiated subtype, unfavorable histology."	Neuroblastoma	
Release 56	"Papillary thyroid carcinoma, 4cm"	Papillary Thyroid Carcinoma	
Release 56	Papillary thyroid carcinoma.	Papillary Thyroid Carcinoma	
Release 56	"Paraganglioma, 4.3 cm"	Paraganglioma	
Release 56	Pheochromocytoma (4.5 cm size) with focal lymphovascular invasion	Pheochromocytoma	
Release 56	"Pilocytic astrocytoma , WHO Grade 1"	Pilocytic astrocytoma	
Release 56	"Poorly differentiated neuroblastoma, stroma poor, high MKI"	Neuroblastoma	
Release 56	"Possible supratentorial ependymoma, pending consultation."	"Neoplasm, NOS"	
Release 56	"Posterior fossa ependymoma, PFA molecular group, CNS WHO grade 3."	Posterior Fossa Group A (PFA) Ependymoma	
Release 56	"Posterior fossa ependymoma, posterior fossa A (PFA) subtype, CNS WHO grade 3."	Posterior Fossa Group A (PFA) Ependymoma	
Release 56	Posterior fossa group A (PFA) ependymoma CNS WHO grade 3	Posterior Fossa Group A (PFA) Ependymoma	
Release 56	"Residual rhabdomyosarcoma in uvula and soft palate, focal in superficial mucosa, favor embryonal subtype"	Rhabdomyosarcoma	
Release 56	Rhabdoid tumor	"Rhabdoid tumor, NOS"	
Release 56	"Rhabdomyosarcoma with heterologous cartilage elements, embryonal subtype with anaplasia"	Embryonal Rhabdomyosarcoma	
Release 56	"Rhabdomyosarcoma, favor embryonal type but pending FOX01 FISH for confirmation"	Rhabdomyosarcoma	
Release 56	Serous borderline tumor.	"Serous borderline tumor, NOS"	
Release 56	"Small foci of viable neuroblastoma, favorable histology (poorly differentiated, low MKI)"	Neuroblastoma	
Release 56	"Small round blue cell tumor, most consistent with Ewing Sarcoma"	"Neoplasm, NOS"	
Release 56	"SMARCA4-deficient undifferentiated tumor of the ovary, 14 cm size, capsule ruptured."	"Neoplasm, NOS"	
Release 56	Spindle cell neoplasm with RAF1-rearrangement.	"Neoplasm, NOS"	
Release 56	"Spindle cell tumor within dermis and subcutaneous tissue, strongly ALK immunoreactive"	"Neoplasm, NOS"	
Release 56	"Supratentorial ependymoma, ZFTA fusion-positive, CNS WHO grade-3"	Supratentorial Ependymoma	
Release 56	"Typical carcinoid tumor, 3 cm, completely excised"	"Neuroendocrine tumor, NOS"	
Release 56	Undifferentiated embryonal sarcoma of the liver 4.2 cm solid tumor within a 11.9 cm multiloculated mass	Embryonal sarcoma	
Release 56	"Undifferentiated sarcoma, suggestive of Ewing sarcoma"	"Sarcoma, NOS"	
Release 56	"Unusual glial/ glioneuronal tumor, histologically low-grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Urothelial mucosa with focal inverted growth pattern and underlying spindle cell proliferation	"Neoplasm, NOS"	
Release 56	"Well differentiated neuroendocrine tumor, WHO grade 1 (1.8 cm)"	"Neuroendocrine tumor, NOS"	
Release 56	Well-circumscribed spindle cell neoplasm with marked cytologic atypia and increased mitotic	"Neoplasm, NOS"	
Release 57 COG clinical	?inflammatory rhabdomyoblastic tumor v inflammatory leiomyosarc?????	Unknown	
Release 57 COG clinical	Alveolar RMS PAX3::NCOA1	Alveolar rhabdomyosarcoma	
Release 57 COG clinical	Askin tumor	Askin tumor	"Ask Pat to add 9365/3 ""Askin tumor"", an IDC-O Preferred term"
Release 57 COG clinical	Cellular myofibroma SRF::NCOA2	Myofibroma	
Release 57 COG clinical	"Cerebellar sarcoma, NOS [obs]"	"Sarcoma, NOS"	
Release 57 COG clinical	Embryonal adenoma	Embryonal adenoma	"Ask Pat to add 8191/0 ""Embryonal adenoma"" (ICD-O preferred term)"
Release 57 COG clinical	"Embryonal rhabdomyosarcoma, spindle cell"	Embryonal Rhabdomyosarcoma	
Release 57 COG clinical	Inflammatory myofibroblastic tumor TPM3::ALK	Inflammatory Myofibroblastic Tumor	
Release 57 COG clinical	"Insulinoma, NOS"	"Insulinoma, NOS"	"Ask Pat to add 8151/3 ""Insulinoma, NOS"" (ICD-O preferred term)"
Release 57 COG clinical	"Intraductal papillary/mucinous carcinoma, invasive"	Mucinous Carcinoma	
Release 57 COG clinical	Malignant giant cell tumor of soft parts	"Giant cell tumor of soft parts, NOS"	
Release 57 COG clinical	Malignant melanoma in junctional nevus	"Malignant melanoma, NOS"	
Release 57 COG clinical	Malignant Triton tumour	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	
Release 57 COG clinical	"Mesothelioma, malignant"	"Mesothelioma, malignant"	"Ask Pat to add 9050/3 ""Mesothelioma, malignant"" (ICD-O preferred term)"
Release 57 COG clinical	Mucoepidermoid tumor [obs]	Mucoepidermoid tumor	"Ask Pat to add 8430/1 ""Mucoepidermoid tumor"" (ICD-O preferred term)"
Release 57 COG clinical	Oxyphilic adenocarcinoma	Oxyphilic adenocarcinoma	"Ask Pat to add 8290/3 ""Oxyphilic adenocarcinoma"" (ICD-O preferred term)"
Release 57 COG clinical	Papillary transitional cell neoplasm of low malignant potential	Papillary urothelial neoplasm of low malignant potential	"Ask Pat to add 8130/1 ""Papillary urothelial neoplasm of low malignant potential"" (ICD-O preferred term)"
Release 57 COG clinical	"Serous cystadenocarcinoma, NOS"	"Serous carcinoma, NOS"	
Release 57 COG clinical	"Sertoli/Leydig cell tumor, well differentiated"	Sertoli-Leydig Cell Tumor	
Release 57 COG clinical	Skin appendage carcinoma	"Adnexal adenocarcinoma, NOS"	"Ask Pat to add 8390/3 ""Adnexal adenocarcinoma, NOS"" (ICD-O preferred term)"
Release 57 COG clinical	"Spindle cell nevus, NOS"	"Spindle cell nevus, NOS"	"Ask Pat to add 8772/0 ""Spindle cell nevus, NOS"" (ICD-O preferred term)"
Release 57 COG clinical	"Spindle cell rhabdomyosarcoma, infantile"	Spindle cell rhabdomyosarcoma	
Release 57 COG clinical	"Spindle cell rhabdomyosarcoma, TFCP2"	Spindle cell rhabdomyosarcoma	
Release 57 COG clinical	Undifferentiated round cell sarcoma with ossification	Undifferentiated Round Cell Sarcoma	
Release 58	"A tumor composed of small, round, blue cells strongly suggestive of Ewing sarcoma"	"Neoplasm, NOS"	
Release 58	Adamantinomatous craniopharyngioma	Adamantinomatous craniopharyngioma	
Release 58	Adrenal cortical carcinoma	Adrenal cortical carcinoma	
Release 58	Adrenal cortical neoplasm with extensive necrosis	Adrenal cortical carcinoma	
Release 58	Adult-type Diffuse Gliomas	Adult-type Diffuse Gliomas	
Release 58	Alveolar rhabdomyosarcoma	Alveolar rhabdomyosarcoma	
Release 58	"Alveolar rhabdomyosarcoma, FOX01 fusion-positive"	Alveolar rhabdomyosarcoma	
Release 58	Anaplastic juvenile granulosa cell tumor (19.2 cm) of the ovary	Juvenile Granulosa Cell Tumor	
Release 58	Angiomatoid fibrous histiocytoma.	Angiomatoid fibrous histiocytoma	
Release 58	"Biphasic compound melanocytic proliferation with extensive P16 expression loss, consistent with melanoma arising within a long-standing melanocytic nevus"	"Neoplasm, NOS"	
Release 58	Bland fibroblastic proliferation	"Neoplasm, NOS"	
Release 58	"Choroid plexus papilloma with glial differentiation, CNS WHO grade 1"	Choroid plexus papilloma	
Release 58	Choroid plexus tumor without malignant features	Choroid plexus tumor	
Release 58	Circumscribed spindled and pleomorphic astrocytoma with neuronal immunophenotypic features and BRAF V600E positivity and loss of p16 by immunohistochemistry	"Astrocytoma, NOS"	
Release 58	CNS embryonal tumor compatible with medulloblastoma	"CNS embryonal tumor, NOS"	
Release 58	"CNS embryonal tumor with partial loss of expression of INI1 and BRG1, favor atypical teratoid/rhabdoid tumor, CNS WHO grade 4"	"CNS embryonal tumor, NOS"	
Release 58	"CNS embryonal tumor, consistent with medulloblastoma, CNS WHO grade 4"	"CNS embryonal tumor, NOS"	
Release 58	Consistent with low grade glia/glioneuronal tumor	"Neoplasm, NOS"	
Release 58	"Consistent with rhabdomyosarcoma, further classification pending additional studies"	"Neoplasm, NOS"	
Release 58	Cystic lung lesion consistent with pleuropulmonary blastoma type 1R	"Neoplasm, NOS"	
Release 58	"Diffuse glioma, CNS WHO grade pending"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NEC"	
Release 58	"Diffuse low grade glioma, favor diffuse astrocytoma, MYB or MYBL1-altered"	"Low-grade glioma, NOS or NEC"	
Release 58	"Diffuse low-grade glioma, BRAF V600E-mutated"	"Low-grade glioma, NOS or NEC"	
Release 58	"Diffusely necrotic malignant small round cell neoplasm, compatible with Ewing sarcoma"	"Neoplasm, NOS"	
Release 58	"Dysembryoplastic neuroepithelial tumor (DNET), WHO Grade 1"	Dysembryoplastic neuroepithelial tumor	
Release 58	"Embryonal tumor, consistent with medulloblastoma with desmoplastic/nodular features"	"Embryonal Tumors, NOS"	
Release 58	"Epithelioid sarcoma, proximal type, involving deep surgical margin"	Epithelioid sarcoma	
Release 58	Ewing sarcoma	Ewing sarcoma	
Release 58	EWSR1-rearranged round cell sarcoma	Small cell sarcoma	ICD-O 3.2 preferred term (8803/3)
Release 58	"Fibrillary neoplasm with cystic change and vascular endothelial proliferation, favor glioma/astrocytoma"	"Neoplasm, NOS"	
Release 58	"Follicular thyroid carcinoma, well differentiated, minimally invasive"	"Follicular carcinoma, NOS"	
Release 58	"Fragments of invasive EBV-positive squamous cell carcinoma, nonkeratinizing"	"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"	ICD-O 3.2 preferred term (8072/3)
Release 58	Ganglioglioma (WHO grade 1)	Ganglioglioma	
Release 58	"Ganglioglioma with BRAF p. V600E immunoreactivity, CNS WHO grade 1"	Ganglioglioma	
Release 58	"Ganglioglioma, BRAF V600E-mutant"	Ganglioglioma	
Release 58	Ganglioneuroblastic tumor with histopathological features consistent with intermixed ganglioneuroblastoma	"Ganglioneuroblastoma, intermixed"	
Release 58	Germinoma	Germinoma	
Release 58	Giant cell tumor of soft tissue with malignant transformation	"Giant cell tumor of soft parts, NOS"	
Release 58	Glial neoplasm with increased mitotic activity	"Neoplasm, NOS"	
Release 58	"Glial proliferation, pending additional studies"	"Neoplasm, NOS"	
Release 58	Glioma.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 58	"Glioneuronal tumor, kinase-fused"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 58	"High grade malignant primitive embryonal tumor, WHO grade 4"	"Embryonal Tumors, NOS"	
Release 58	"high grade tumor present, favor embryonal"	"Neoplasm, malignant"	
Release 58	"High grade tumor, consistent with embryonal tumor"	"Neoplasm, malignant"	
Release 58	"High-grade glioma, NOS or NEC"	"High-grade glioma, NOS or NEC"	
Release 58	"High-grade glioma, pending molecular studies"	"High-grade glioma, NOS or NEC"	
Release 58	High-grade malignant neoplasm with primitive features	"Neoplasm, malignant"	
Release 58	"High-grade neuroepithelial neoplasm with pseudopalisading necrosis and endothelial proliferation, favor glioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 58	"High-grade papillary thyroid carcinoma, diffuse sclerosing subtype"	Papillary Thyroid Carcinoma	
Release 58	High-grade primitive embryonal neoplasm	"Embryonal Tumors, NOS"	
Release 58	IDH-mutant low-grade glioma	"Low-grade glioma, NOS or NEC"	
Release 58	Infant glioma/most likely astrocytic	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 58	"Infiltrating pediatric glioma, BRAF V600E-positive"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
